word,lang_code,ipa
2272328,abhorrent,en_UK,_ɐbhˈɒɹənt_
2272329,abhorring,en_UK,_ɐbhˈɔːɹɪŋ_
2272330,abhors,en_UK,_ɐbhˈɔːz_
2272331,abide,en_UK,_ɐbˈa‍ɪd_
2272332,abided,en_UK,_ɐbˈa‍ɪdɪd_
2272333,abides,en_UK,_ɐbˈa‍ɪdz_
2272334,abiding,en_UK,_ɐbˈa‍ɪdɪŋ_
2272335,abies,en_UK,_ɐbˈa‍ɪz_
2272336,abigail,en_UK,_ˈæbɪɡˌe‍ɪl_
2272337,abilities,en_UK,_ɐbˈɪlətˌiz_
2272338,ability,en_UK,_ɐbˈɪlətˌi_
2272339,abjection,en_UK,_æbd‍ʒˈɛkʃən_
2272340,abjectly,en_UK,_ˈæbd‍ʒɛktli_
2272341,abjure,en_UK,_ɐbd‍ʒjˈɔː_
2272342,ablation,en_UK,_ɐblˈe‍ɪti‍ən_
2272343,ablaze,en_UK,_ɐblˈe‍ɪz_
2272344,able,en_UK,_ˈe‍ɪbə‍l_
2272345,abler,en_UK,_ˈe‍ɪblɐ_
2272346,ablest,en_UK,_ˈe‍ɪbləst_
2272347,ablution,en_UK,_ɐblˈuːʃən_
2272348,ablutions,en_UK,_ɐblˈuːʃənz_
2272349,ably,en_UK,_ˈe‍ɪbli_
2272350,abnegate,en_UK,_ˈæbnɪɡˌe‍ɪt_
2272351,abnegation,en_UK,_ˌæbnɪɡˈe‍ɪʃən_
2272352,abnormal,en_UK,_ɐbnˈɔːmə‍l_
2272353,abnormalities,en_UK,_ɐbnɔːmˈælɪtiz_
2272354,abnormality,en_UK,_ɐbnɔːmˈælɪti_
2272355,abnormally,en_UK,_ɐbnˈɔːmə‍li_
2272356,aboard,en_UK,_ɐbˈɔːd_
2272357,abode,en_UK,_ɐbˈə‍ʊd_
2272358,abodes,en_UK,_ɐbˈə‍ʊdz_
2272359,abolish,en_UK,_ɐbˈɒlɪʃ_
2272360,abolished,en_UK,_ɐbˈɒlɪʃt_
2272361,abolishes,en_UK,_ɐbˈɒlɪʃɪz_
2272362,abolishing,en_UK,_ɐbˈɒlɪʃɪŋ_
2272363,abolishment,en_UK,_ɐbˈɒlɪʃmənt_
2272364,abolition,en_UK,_ˌæbəlˈɪʃən_
2272365,abolitionist,en_UK,_ˌæbəlˈɪʃənˌɪst_
2272366,abolitionists,en_UK,_ˌæbəlˈɪʃənˌɪsts_
2272367,abominable,en_UK,_ɐbˈɒmɪnəbə‍l_
2272368,abominably,en_UK,_ɐbˈɒmɪnəbli_
2272369,abominate,en_UK,_ɐbˈɒmɪnˌe‍ɪt_
2272370,abominated,en_UK,_ɐbˈɒmɪnˌe‍ɪtɪd_
2272371,abomination,en_UK,_ɐbˌɒmɪnˈe‍ɪʃən_
2272372,abominations,en_UK,_ɐbˌɒmɪnˈe‍ɪʃənz_
2272373,abominator,en_UK,_ɐbˈɒmɪnˌe‍ɪtɐ_
2272374,aboriginal,en_UK,_ˌæbəɹˈɪd‍ʒɪnə‍l_
2272375,aboriginals,en_UK,_ˌæbəɹˈɪd‍ʒɪnə‍lz_
2272376,aborigine,en_UK,_ˌæbəɹˈɪd‍ʒənˌi_
2272377,aborigines,en_UK,_ˌæbəɹˈɪd‍ʒənˌiz_
2272378,abort,en_UK,_ɐbˈɔːt_
2272379,aborted,en_UK,_ɐbˈɔːtɪd_
2272380,aborting,en_UK,_ɐbˈɔːtɪŋ_
2272381,abortion,en_UK,_ɐbˈɔːʃən_
2272382,abortionist,en_UK,_ɐbˈɔːʃənˌɪst_
2272383,abortionists,en_UK,_ɐbˈɔːʃənˌɪsts_
2272384,abortions,en_UK,_ɐbˈɔːʃənz_
2272385,abortive,en_UK,_ɐbˈɔːtɪv_
2272386,aborts,en_UK,_ɐbˈɔːts_
2272387,abound,en_UK,_ɐbˈa‍ʊnd_
2272388,abounded,en_UK,_ɐbˈa‍ʊndɪd_
2272389,abounding,en_UK,_ɐbˈa‍ʊndɪŋ_
2272390,abounds,en_UK,_ɐbˈa‍ʊndz_
2272391,about,en_UK,_ɐbˈa‍ʊt_
2272392,above,en_UK,_əbˈʌv_
2272393,abracadabra,en_UK,_ˌæbɹəkədˈæbɹɐ_
2272394,abrade,en_UK,_ɐbɹˈe‍ɪd_
2272395,abraded,en_UK,_ɐbɹˈe‍ɪdɪd_
2272396,abrades,en_UK,_ɐbɹˈe‍ɪdz_
2272397,abrading,en_UK,_ɐbɹˈe‍ɪdɪŋ_
2272398,abrasion,en_UK,_ɐbɹˈe‍ɪʒən_
2272399,abrasions,en_UK,_ɐbɹˈe‍ɪʒənz_
2272400,abrasive,en_UK,_ɐbɹˈe‍ɪsɪv_
2272401,abrasiveness,en_UK,_ɐbɹˈe‍ɪsɪvnəs_
2272402,abrasives,en_UK,_ɐbɹˈe‍ɪsɪvz_
2272403,abraxas,en_UK,_ɐbɹˈæksəs_
2272404,abreast,en_UK,_ɐbɹˈɛst_
2272405,abri,en_UK,_ɐbɹˈi_
2272406,abridged,en_UK,_ɐbɹˈɪd‍ʒd_
2272407,abridgement,en_UK,_ɐbɹˈɪd‍ʒmənt_
2272408,abroad,en_UK,_ɐbɹˈɔːd_
2272409,abrogated,en_UK,_ˈæbɹəɡˌe‍ɪtɪd_
2272410,abrogating,en_UK,_ˈæbɹəɡˌe‍ɪtɪŋ_
2272411,abrogation,en_UK,_ˌæbɹəɡˈe‍ɪʃən_
2272412,abrupt,en_UK,_ɐbɹˈʌpt_
2272413,abruption,en_UK,_ɐbɹˈʌpʃən_
2272414,abruptly,en_UK,_ɐbɹˈʌptli_
2272415,abruptness,en_UK,_ɐbɹˈʌptnəs_
2272416,abs,en_UK,_ˈæbz_
2272417,abscess,en_UK,_ˈæbsɛs_
2272418,abscesses,en_UK,_ˈæbsɛsɪz_
2272419,abscond,en_UK,_ɐbskˈɒnd_
2272420,absconded,en_UK,_ɐbskˈɒndɪd_
2272421,absconding,en_UK,_ɐbskˈɒndɪŋ_
2272422,absconds,en_UK,_ɐbskˈɒndz_
2272423,abseil,en_UK,_ˈæbse‍ɪl_
2272424,abseiled,en_UK,_ˈæbse‍ɪld_
2272425,abseiler,en_UK,_ˈæbse‍ɪlɐ_
2272426,abseiling,en_UK,_ˈæbse‍ɪlɪŋ_
2272427,abseils,en_UK,_ˈæbse‍ɪlz_
2272428,absence,en_UK,_ˈæbsəns_
2272429,absences,en_UK,_ˈæbsənsɪz_
2272430,absented,en_UK,_æbsˈɛntɪd_
2272431,absentee,en_UK,_ˌæbsəntˈiː_
2272432,absenteeism,en_UK,_ˌæbsəntˈiːɪzəm_
2272433,absentees,en_UK,_ˌæbsəntˈiːz_
2272434,absenting,en_UK,_æbsˈɛntɪŋ_
2272435,absentminded,en_UK,_ˌæbsəntmˈa‍ɪndɪd_
2272436,absentmindedly,en_UK,_ˌæbsəntmˈa‍ɪndɪdli_
2272437,absinthe,en_UK,_ˈæbsɪnθ_
2272438,absolute,en_UK,_ˈæbsəlˌuːt_
2272439,absolutely,en_UK,_ˌæbsəlˈuːtli_
2272440,absolutes,en_UK,_ˈæbsəlˌuːts_
2272441,absolution,en_UK,_ˌæbsəlˈuːʃən_
2272442,absolutism,en_UK,_ˈæbsəlˌuːtɪzəm_
2272443,absolutist,en_UK,_ˈæbsəlˌuːtɪst_
2272444,absolve,en_UK,_ɐbsˈɒlv_
2272445,absolved,en_UK,_ɐbsˈɒlvd_
2272446,absolves,en_UK,_ɐbsˈɒlvz_
2272447,absolving,en_UK,_ɐbsˈɒlvɪŋ_
2272448,absorbable,en_UK,_ɐbsˈɔːbəbə‍l_
2272449,absorb,en_UK,_ɐbsˈɔːb_
2272450,absorbed,en_UK,_ɐbsˈɔːbd_
2272451,absorbency,en_UK,_ɐbsˈɔːbənsi_
2272452,absorbent,en_UK,_ɐbsˈɔːbənt_
2272453,absorber,en_UK,_ɐbsˈɔːbɐ_
2272454,absorbers,en_UK,_ɐbsˈɔːbəz_
2272455,absorbing,en_UK,_ɐbsˈɔːbɪŋ_
2272456,absorbs,en_UK,_ɐbsˈɔːbz_
2272457,absorption,en_UK,_ɐbsˈɔːpʃən_
2272458,abstain,en_UK,_ɐbstˈe‍ɪn_
2272459,abstained,en_UK,_ɐbstˈe‍ɪnd_
2272460,abstainers,en_UK,_ɐbstˈe‍ɪnəz_
2272461,abstaining,en_UK,_ɐbstˈe‍ɪnɪŋ_
2272462,abstains,en_UK,_ɐbstˈe‍ɪnz_
2272463,abstemious,en_UK,_ɐbstˈiːmi‍əs_
2272464,abstention,en_UK,_ɐbstˈɛnʃən_
2272465,abstentions,en_UK,_ɐbstˈɛnʃənz_
2272466,abstinence,en_UK,_ˈæbstɪnəns_
2272467,abstinent,en_UK,_ˈæbstɪnənt_
2272468,abstracted,en_UK,_ɐbstɹˈæktɪd_
2272469,abstracting,en_UK,_ɐbstɹˈæktɪŋ_
2272470,abstraction,en_UK,_ɐbstɹˈækʃən_
2272471,abstractions,en_UK,_ɐbstɹˈækʃənz_
2272472,abstractly,en_UK,_ɐbstɹˈæktli_
2272473,abstruse,en_UK,_ɐbstɹˈuːs_
2272474,absurd,en_UK,_ɐbsˈɜːd_
2272475,absurdist,en_UK,_ɐbsˈɜːdɪst_
2272476,absurdities,en_UK,_ɐbsˈɜːdɪtiz_
2272477,absurdity,en_UK,_ɐbsˈɜːdɪti_
2272478,absurdly,en_UK,_ɐbsˈɜːdli_
2272479,abundance,en_UK,_ɐbˈʌndəns_
2272480,abundances,en_UK,_ɐbˈʌndənsɪz_
2272481,abundant,en_UK,_ɐbˈʌndənt_
2272482,abundantly,en_UK,_ɐbˈʌndəntli_
2272483,abused,en_UK,_ɐbjˈuːsd_
2272484,abuser,en_UK,_ɐbjˈuːsɐ_
2272485,abusers,en_UK,_ɐbjˈuːsəz_
2272486,abusing,en_UK,_ɐbjˈuːsɪŋ_
2272487,abusive,en_UK,_ɐbjˈuːsɪv_
2272488,abusively,en_UK,_ɐbjˈuːsɪvli_
2272489,abut,en_UK,_ɐbˈʌt_
2272490,abutment,en_UK,_ɐbˈʌtmənt_
2272491,abutments,en_UK,_ɐbˈʌtmənts_
2272492,abuts,en_UK,_ɐbˈʌts_
2272493,abutting,en_UK,_ɐbˈʌtɪŋ_
2272494,abuzz,en_UK,_ɐbˈʌz_
2272495,aby,en_UK,_ɐbˈa‍ɪ_
2272496,abysmal,en_UK,_ɐbˈɪsmə‍l_
2272497,abysmally,en_UK,_ɐbˈɪsmə‍li_
2272498,abyssal,en_UK,_ɐbˈɪsə‍l_
2272499,abyss,en_UK,_ɐbˈɪs_
2272500,abysses,en_UK,_ɐbˈɪsɪz_
2272501,acacia,en_UK,_ɐkˈe‍ɪʃɐ_
2272502,acacias,en_UK,_ɐkˈe‍ɪʃəz_
2272503,academe,en_UK,_ɐkˈædəmˌi_
2272504,academia,en_UK,_ˌækədˈiːmi‍ə_
2272505,academic,en_UK,_ˌækədˈɛmɪk_
2272506,academical,en_UK,_ˌækədˈɛmɪkə‍l_
2272507,academically,en_UK,_ˌækədˈɛmɪkli_
2272508,academician,en_UK,_ˌækədɪmˈɪʃən_
2272509,academicians,en_UK,_ˌækədɪmˈɪʃənz_
2272510,academics,en_UK,_ˌækədˈɛmɪks_
2272511,academies,en_UK,_ɐkˈædəmɪz_
2272512,academy,en_UK,_ɐkˈædəmi_
2272513,acanthus,en_UK,_ɐkˈɑːnθəs_
2272514,acceded,en_UK,_ɐksˈiːdɪd_
2272515,accede,en_UK,_ɐksˈiːd_
2272516,acceding,en_UK,_ɐksˈiːdɪŋ_
2272517,accelerando,en_UK,_ɐksˌɛləɹˈændə‍ʊ_
2272518,accelerant,en_UK,_ɐksˈɛləɹənt_
2272519,accelerated,en_UK,_ɐksˈɛləɹˌe‍ɪtɪd_
2272520,accelerate,en_UK,_ɐksˈɛləɹˌe‍ɪt_
2272521,accelerates,en_UK,_ɐksˈɛləɹˌe‍ɪts_
2272522,accelerating,en_UK,_ɐksˈɛləɹˌe‍ɪtɪŋ_
2272523,acceleration,en_UK,_ɐksˌɛləɹˈe‍ɪʃən_
2272524,accelerations,en_UK,_ɐksˌɛləɹˈe‍ɪʃənz_
2272525,accelerator,en_UK,_ɐksˈɛləɹˌe‍ɪtɐ_
2272526,accelerators,en_UK,_ɐksˈɛləɹˌe‍ɪtəz_
2272527,accelerometer,en_UK,_ɐksˌɛləɹˈɒmɪtɐ_
2272528,accelerometers,en_UK,_ɐksˌɛləɹˈɒmɪtəz_
2272529,accented,en_UK,_ˈæksəntɪd_
2272530,accentuate,en_UK,_æksˈɛnt‍ʃuːˌe‍ɪt_
2272531,accentuated,en_UK,_æksˈɛnt‍ʃuːˌe‍ɪtɪd_
2272532,accentuates,en_UK,_æksˈɛnt‍ʃuːˌe‍ɪts_
2272533,accentuating,en_UK,_æksˈɛnt‍ʃuːˌe‍ɪtɪŋ_
2272534,acceptability,en_UK,_ɐksˌɛptəbˈɪlɪti_
2272535,acceptable,en_UK,_ɐksˈɛptəbə‍l_
2272536,acceptably,en_UK,_ɐksˈɛptəbli_
2272537,acceptance,en_UK,_ɐksˈɛptəns_
2272538,acceptances,en_UK,_ɐksˈɛptənsɪz_
2272539,acceptation,en_UK,_ɐksɪptˈe‍ɪʃən_
2272540,accepted,en_UK,_ɐksˈɛptɪd_
2272541,accepting,en_UK,_ɐksˈɛptɪŋ_
2272542,accept,en_UK,_ɐksˈɛpt_
2272543,accepts,en_UK,_ɐksˈɛpts_
2272544,access,en_UK,_ˈæksɛs_
2272545,accessed,en_UK,_ˈæksɛst_
2272546,accesses,en_UK,_ˈæksɛsɪz_
2272547,accessibility,en_UK,_ɐksˌɛsəbˈɪlɪti_
2272548,accessible,en_UK,_ɐksˈɛsəbə‍l_
2272549,accessibly,en_UK,_ɐksˈɛsəbli_
2272550,accessing,en_UK,_ˈæksɛsɪŋ_
2272551,accession,en_UK,_ɐksˈɛʃən_
2272552,accessories,en_UK,_ɐksˈɛsəɹˌiz_
2272553,accessorised,en_UK,_ɐksˈɛsɔːɹˌa‍ɪzd_
2272554,accessorise,en_UK,_ɐksˈɛsɔːɹˌa‍ɪz_
2272555,accessorising,en_UK,_ɐksˈɛsɔːɹˌa‍ɪzɪŋ_
2272556,accessory,en_UK,_ɐksˈɛsəɹˌi_
2272557,accident,en_UK,_ˈæksɪdənt_
2272558,accidental,en_UK,_ˌæksɪdˈɛntə‍l_
2272559,accidentally,en_UK,_ˌæksɪdˈɛntə‍li_
2272560,accidently,en_UK,_ˈæksɪdəntli_
2272561,accidents,en_UK,_ˈæksɪdənts_
2272562,accidie,en_UK,_ˈæksɪdi_
2272563,acclaimed,en_UK,_ɐklˈe‍ɪmd_
2272564,acclaiming,en_UK,_ɐklˈe‍ɪmɪŋ_
2272565,acclaim,en_UK,_ɐklˈe‍ɪm_
2272566,acclaims,en_UK,_ɐklˈe‍ɪmz_
2272567,acclamation,en_UK,_ɐklɐmˈe‍ɪʃən_
2272568,acclimated,en_UK,_ɐklˈa‍ɪmətɪd_
2272569,acclimate,en_UK,_ɐklˈa‍ɪmət_
2272570,acclimatisation,en_UK,_ɐklˌa‍ɪmɐta‍ɪzˈe‍ɪʃən_
2272571,acclimatised,en_UK,_ɐklˈa‍ɪmɐtˌa‍ɪzd_
2272572,acclimatise,en_UK,_ɐklˈa‍ɪmɐtˌa‍ɪz_
2272573,acclimatising,en_UK,_ɐklˈa‍ɪmɐtˌa‍ɪzɪŋ_
2272574,accolade,en_UK,_ˈækəlˌe‍ɪd_
2272575,accolades,en_UK,_ˈækəlˌe‍ɪdz_
2272576,accommodated,en_UK,_ɐkˈɒmədˌe‍ɪtɪd_
2272577,accommodate,en_UK,_ɐkˈɒmədˌe‍ɪt_
2272578,accommodates,en_UK,_ɐkˈɒmədˌe‍ɪts_
2272579,accommodating,en_UK,_ɐkˈɒmədˌe‍ɪtɪŋ_
2272580,accommodation,en_UK,_ɐkˌɒmədˈe‍ɪʃən_
2272581,accommodations,en_UK,_ɐkˌɒmədˈe‍ɪʃənz_
2272582,accompanied,en_UK,_ɐkˈʌmpənɪd_
2272583,accompanies,en_UK,_ɐkˈʌmpənɪz_
2272584,accompaniment,en_UK,_ɐkˈʌmpɐnˌɪmənt_
2272585,accompaniments,en_UK,_ɐkˈʌmpɐnˌɪmənts_
2272586,accompanist,en_UK,_ɐkˈʌmpɐnˌɪst_
2272587,accompanists,en_UK,_ɐkˈʌmpɐnˌɪsts_
2272588,accompanying,en_UK,_ɐkˈʌmpənɪɪŋ_
2272589,accompany,en_UK,_ɐkˈʌmpəni_
2272590,accomplice,en_UK,_ɐkˈɒmplɪs_
2272591,accomplices,en_UK,_ɐkˈɒmplɪsɪz_
2272592,accomplished,en_UK,_ɐkˈɒmplɪʃt_
2272593,accomplishes,en_UK,_ɐkˈɒmplɪʃɪz_
2272594,accomplishing,en_UK,_ɐkˈɒmplɪʃɪŋ_
2272595,accomplish,en_UK,_ɐkˈɒmplɪʃ_
2272596,accomplishment,en_UK,_ɐkˈɒmplɪʃmənt_
2272597,accomplishments,en_UK,_ɐkˈɒmplɪʃmənts_
2272598,accordance,en_UK,_ɐkˈɔːdəns_
2272599,accordant,en_UK,_ɐkˈɔːdənt_
2272600,accorded,en_UK,_ɐkˈɔːdɪd_
2272601,according,en_UK,_ɐkˈɔːdɪŋ_
2272602,accordingly,en_UK,_ɐkˈɔːdɪŋli_
2272603,accordionist,en_UK,_ɐkˈɔːdɪənˌɪst_
2272604,accordionists,en_UK,_ɐkˈɔːdɪənˌɪsts_
2272605,accordion,en_UK,_ɐkˈɔːdi‍ən_
2272606,accordions,en_UK,_ɐkˈɔːdi‍ənz_
2272607,accord,en_UK,_ɐkˈɔːd_
2272608,accords,en_UK,_ɐkˈɔːdz_
2272609,accosted,en_UK,_ɐkˈɒstɪd_
2272610,accosting,en_UK,_ɐkˈɒstɪŋ_
2272611,accost,en_UK,_ɐkˈɒst_
2272612,accosts,en_UK,_ɐkˈɒsts_
2272613,accountability,en_UK,_ɐkˌa‍ʊntəbˈɪlɪti_
2272614,accountable,en_UK,_ɐkˈa‍ʊntəbə‍l_
2272615,accountancy,en_UK,_ɐkˈa‍ʊntənsi_
2272616,accountant,en_UK,_ɐkˈa‍ʊntənt_
2272617,accountants,en_UK,_ɐkˈa‍ʊntənts_
2272618,accounted,en_UK,_ɐkˈa‍ʊntɪd_
2272619,accounting,en_UK,_ɐkˈa‍ʊntɪŋ_
2272620,account,en_UK,_ɐkˈa‍ʊnt_
2272621,accounts,en_UK,_ɐkˈa‍ʊnts_
2272622,accoutred,en_UK,_ɐkˈuːtɹəd_
2272623,accoutrement,en_UK,_ɐkˈuːtɹɪmənt_
2272624,accoutrements,en_UK,_ɐkˈuːtɹɪmənts_
2272625,accreditation,en_UK,_ɐkɹˌɛdɪtˈe‍ɪʃən_
2272626,accredited,en_UK,_ɐkɹˈɛdɪtɪd_
2272627,accredits,en_UK,_ɐkɹˈɛdɪts_
2272628,accreted,en_UK,_ɐkɹˈiːtɪd_
2272629,accrete,en_UK,_ɐkɹˈiːt_
2272630,accretion,en_UK,_ɐkɹˈɛʃən_
2272631,accretions,en_UK,_ɐkɹˈɛʃənz_
2272632,accrual,en_UK,_ɐkɹˈuːə‍l_
2272633,accrued,en_UK,_ɐkɹˈuːd_
2272634,accrue,en_UK,_ɐkɹˈuː_
2272635,accrues,en_UK,_ɐkɹˈuːz_
2272636,accruing,en_UK,_ɐkɹˈuːɪŋ_
2272637,acculturated,en_UK,_ɐkˈʌlt‍ʃəɹˌe‍ɪtɪd_
2272638,accumulated,en_UK,_ɐkjˈuːmjʊlˌe‍ɪtɪd_
2272639,accumulate,en_UK,_ɐkjˈuːmjʊlˌe‍ɪt_
2272640,accumulates,en_UK,_ɐkjˈuːmjʊlˌe‍ɪts_
2272641,accumulating,en_UK,_ɐkjˈuːmjʊlˌe‍ɪtɪŋ_
2272642,accumulation,en_UK,_ɐkjˌuːmjʊlˈe‍ɪʃən_
2272643,accumulations,en_UK,_ɐkjˌuːmjʊlˈe‍ɪʃənz_
2272644,accumulative,en_UK,_ɐkjˈuːmjʊlətˌɪv_
2272645,accumulator,en_UK,_ɐkjˈuːmjʊlˌe‍ɪtɐ_
2272646,accumulators,en_UK,_ɐkjˈuːmjʊlˌe‍ɪtəz_
2272647,accuracy,en_UK,_ˈækjʊɹəsi_
2272648,accurate,en_UK,_ˈækjʊɹət_
2272649,accurately,en_UK,_ˈækjʊɹətli_
2272650,accursed,en_UK,_ɐkˈɜːsɪd_
2272651,accusation,en_UK,_ˌækjuːzˈe‍ɪʃən_
2272652,accusations,en_UK,_ˌækjuːzˈe‍ɪʃənz_
2272653,accusative,en_UK,_ɐkjˈuːzətˌɪv_
2272654,accusatory,en_UK,_ɐkjˈuːzətəɹˌi_
2272655,accused,en_UK,_ɐkjˈuːzd_
2272656,accuse,en_UK,_ɐkjˈuːz_
2272657,accuser,en_UK,_ɐkjˈuːzɐ_
2272658,accusers,en_UK,_ɐkjˈuːzəz_
2272659,accuses,en_UK,_ɐkjˈuːzɪz_
2272660,accusing,en_UK,_ɐkjˈuːzɪŋ_
2272661,accusingly,en_UK,_ɐkjˈuːzɪŋli_
2272662,accustomed,en_UK,_ɐkˈʌstəmd_
2272663,accustom,en_UK,_ɐkˈʌstəm_
2272664,aced,en_UK,_ˈe‍ɪst_
2272665,ace,en_UK,_ˈe‍ɪs_
2272666,acerbic,en_UK,_ɐsˈɜːbɪk_
2272667,aces,en_UK,_ˈe‍ɪsɪz_
2272668,acetate,en_UK,_ˈæsɪtˌe‍ɪt_
2272669,acetates,en_UK,_ˈæsɪtˌe‍ɪts_
2272670,acetic,en_UK,_ɐsˈiːtɪk_
2272671,acetone,en_UK,_ˈæsɪtˌə‍ʊn_
2272672,acetyl,en_UK,_ˈæsɪtˌa‍ɪl_
2272673,acetylene,en_UK,_ɐsˈɛtəlˌiːn_
2272674,ached,en_UK,_ˈe‍ɪkt_
2272675,aches,en_UK,_ˈe‍ɪkz_
2272676,achievable,en_UK,_ɐt‍ʃˈiːvəbə‍l_
2272677,achieved,en_UK,_ɐt‍ʃˈiːvd_
2272678,achievements,en_UK,_ɐt‍ʃˈiːvmənts_
2272679,achievement,en_UK,_ɐt‍ʃˈiːvmənt_
2272680,achievers,en_UK,_ɐt‍ʃˈiːvəz_
2272681,achiever,en_UK,_ɐt‍ʃˈiːvɐ_
2272682,achieves,en_UK,_ɐt‍ʃˈiːvz_
2272683,achieve,en_UK,_ɐt‍ʃˈiːv_
2272684,achieving,en_UK,_ɐt‍ʃˈiːvɪŋ_
2272685,aching,en_UK,_ˈe‍ɪkɪŋ_
2272686,achingly,en_UK,_ɐt‍ʃɪŋlˈi_
2272687,achoo,en_UK,_ɐt‍ʃˈuː_
2272688,achy,en_UK,_ˈe‍ɪki_
2272689,acid,en_UK,_ˈæsɪd_
2272690,acidic,en_UK,_ɐsˈɪdɪk_
2272691,acidification,en_UK,_ɐsˌɪdɪfɪkˈe‍ɪʃən_
2272692,acidified,en_UK,_ɐsˈɪdɪfˌa‍ɪd_
2272693,acidifying,en_UK,_ɐsˈɪdɪfˌa‍ɪɪŋ_
2272694,acidify,en_UK,_ɐsˈɪdɪfˌa‍ɪ_
2272695,acidity,en_UK,_æsˈɪdɪti_
2272696,acidosis,en_UK,_ɐsɪdˈə‍ʊsɪs_
2272697,acidotic,en_UK,_ɐsɪdˈɒtɪk_
2272698,acids,en_UK,_ˈæsɪdz_
2272699,acidulated,en_UK,_ɐsˈɪdjʊlˌe‍ɪtɪd_
2272700,acing,en_UK,_ˈe‍ɪsɪŋ_
2272701,acknowledged,en_UK,_ɐknˈɒlɪd‍ʒd_
2272702,acknowledge,en_UK,_ɐknˈɒlɪd‍ʒ_
